Anonymous ID,Q16,Q19_1,Q19_2,Q19_3,Q4,Survey_Model,Survey_NE,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,Q17,Q18,Q5,Q6,Q8,Q9,Q11,Q12,Q14,Q15,Q20_1,Q20_2,Q20_3
118,"Yes, I was present and completed the NFL activity.",2,3,1,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,7,7,8,7,7,7,7,10,7,7,7,5,4,7,7,7,4,4,3,4,I put two spinners instead of one. One spinner with team names as the labels determines which team wins the coin flip and the other spinner with team names as the labels determines which team wins the game.,"Since advantages are given to neither side by the coin flip, which team wins the game seems to be independent of which team wins the coin flip. Thus, I put two spinners as two independent events and the proportion of games when the two spinners show the same team is the target of investigation.","A device that first determines if a team wins or loses the game, and then determines if that team wins or loses the coin flip. ",I put two spinners: one with team names as the labels determines which team wins the coin flip; another with team names as the labels determines which team wins the game.,The sampler is simple but it doesn't align with the target because our target is to get the proportion of games that the team that wins the coin flip also wins the game.,"Even though the outcome of this sampler would be similar to a sampler that properly get the proportion of games that the team that wins the coin flip also wins the game, to use this sampler, one has to clearly know that this sampler works because the probability of having one team wins both the coin flip and the game is the same as getting a teams fails the coin flip but wins the game.","This sampler clearly distinguishes the coin flip and the game but, when dealing with the outcome table, it has to be known that having a team losing the coin flip and losing the game is the same as having the other team winning the coin flip and winning the game or having a team losing the coin flip and winning the game is the same as having the other team winning the coin flip and losing the game.",This device functions correctly in correspondence to the situation and it helps me to distinguish some overlapping cases and rings the bell for me.,This device is also aligned with the overtime rule even though the logic behind it looks counterintuitive by determining which team wins the game before determining which team wins the coin flip.,This device is very similar to previous one and solidifies my idea that which team will win the coin flip is independent of which team will win the games by the assumption that coin flipping winning won't give an advantage to the winner in the game.,3,1,2
119,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,first seeing who won the toss then seeing if winning the toss has a relationship with who won the game,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.","mine was first a coinflip that determined who won the toss, then depending on if it was team 1 or team 2, it would go to a different spinner that was 50/50 and determined who won the game.","simple to understand, but doesn't offer a lot of reasons for why the team would win the game",liked hearing how others came to this conclusion,i like how it has two spinners and we can see if winning the coin toss has an impact on winning the game,it's nice seeing a possible solution be something you were working on,"not sure why the game outcome comes before the coin flip
",liked hearing how others came to this conclusion,3,1,2
120,"Yes, I was present and completed the NFL activity.",1,2,3,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,10,10,10,10,10,8,10,9,7,10,10,10,10,9,10,10,10,10,10,10,,It is a simple sampler device for immitating the context of winning the game after winning the coin flip.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",Our sampler has two wheel in the second branch because we think it can provide us with a more adequate combination of samples. ,"This sampler is really concise. However, it lacks a various combination of results and it cannot directly get the chance of any results with the pre-requisite ""being a coin flip loser.""",It support my learning in class by giving me the shortcut of solving the problem while it kind of lost the precision of data. ,It perfectly mimic the process of flipping a coin first and then determine the winer. There is no point that it doesn't appeal to me. ,It support my learning by giving me the most precise simulation of the whole process. ,"It also have the two step process of flipping the coin. However, it doesn't appeal to me by twisting the order of ",I don't think talking about this device support my learning in class because it is not simulating the right procedure.,2,1,3
122,"Yes, I was present and completed the NFL activity.",3,1,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,7,7,5,6,5,6,6,7,8,5,8,6,5,6,8,6,8,6,6,,"I choose the first one because it is the easiest spinner to build, but the third one is the one we can directly see the connection between the outcome of coin toss and the result of the competition.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,"I think we can have the result we want upon this spinner, but if we are not the person who build this spinner, we might not know what it represents.","The same as the answer above. Also, we cannot see the accurate details of the football games.","There are two spinners, so we can see the outcome directly from the table. While compare with the last one spinner, this is a little bit complex.","Also, the same as the answer above.",The order of the two-spinner change. We can still have the results.,"Because of the order, this represents the team which win/lose the game have a win/lose results of the coin toss. A little bit different in the process, but we can have the same answer.",1,2,3
123,"Yes, I was present and completed the NFL activity.",2,1,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,7,7,7,7,6,8,6,6,7,8,7,7,6,7,7,7,7,8,8,7,,"My chosen sampler made the most sense to me since I viewed the problem in terms of first the coin flip and then that result going into whether team 1 or team 2 won. Due to that, I created two spinners to match what I envisioned in my mind with the two steps I broke down the problem into.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It only has one spinner which is simplistic and makes sense to me. Yet, in my mind I still view the two steps of first the coin flip and then the teams winning or losing so I still prefer the two spinners.","It helped me understand that this problem is actually pretty simplistic and because we only care about whether the team that won the coin flips wins or loses, we can use one spinner and not two.",This was my device that I used so it appeals to me since this is exactly what I envisioned and matches what I thought would have to be done; first the coin flip then the game outcome for the team.,It helped me realize other people thought the same as me and basically let me know I was on the right track.,The two spinners is like the previous device but the fact that game outcome is first and not the coinflip is a bit tricky to me and would confuse me a little bit.,I don't remember talking much about this specific variation of this device so it didn't support my learning.,2,1,3
128,"Yes, I was present and completed the NFL activity.",2,1,3,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,7,7,6,6,6,7,5,4,7,6,6,6,7,7,7,7,7,6,6,7,almost the same,"since the group who won the coin game won the whole stuff, a spiner with only two choice is enough","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,its easy to see but too simple,helped me connect the abstract idea of probability to a clear visual example,"I like that this sampler shows two connected stages of probability, but it feels a bit repetitive since both stages are just 50/50 outcomes.",it helped me to see how compound effect can cause different result,its connected two states but a little bit competitive,it help me to understand compound effect,1,2,3
130,"Yes, I was present and completed the NFL activity.",3,2,1,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,8,10,,I think coin flip can be determined without a spinning wheel as it doesn't matter to do a spinner on whether one wins the coin flip in the question. ,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"Its very concise, and easy to understand.","I believed it is best while my partner doesn't, hearing the prof ascertaining the plausibility assured my thoughts.
","Its the same the previous one, but unnecessary with a spinner on coin flip.","Since it is eventually going to merge into win-win and win-lose, I think it makes the process lengthier. But it is still a good interpretation for people to understand verbally the question.",I did not understand the logic of having a game first then coin flip.,I thought this one is not talked in class.,1,2,3
132,"Yes, I was present and completed the NFL activity.",3,2,1,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,8,8,9,9,7,9,9,8,9,8,8,7,8,8,8,7,10,7,7,8,Same,Same,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",N/A,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,1,3,2
133,"Yes, I was present and completed the NFL activity.",3,1,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,8,9,7,5,8,9,7,8,7,7,7,7,7,7,8,8,9,7,8,,I think it's basically based on how I think about the problem.,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It's not detailed enough to consider the following game result. Also, not clear to see the result data.",This shows another method which I initially thought could not work well.,,,,,,,
134,"Yes, I was present and completed the NFL activity.",1,2,3,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,5,9,9,6,10,9,9,10,9,9,10,10,9,9,9,8,8,9,5,We actually use team a and team b to label the sections of  spins,"Before the game, they will toss the coin to decide the winner of the coin flip, then they will compete to decide the winner of the game. My sampler will keep track of the winner of each step.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It's really clear and simple. However, it didn't really simulate the whole process.","It did support it. I makes to think how my sampler can be simplified just in order to get the interest variable, and exclude unnecessary information.","It's pretty nice at simulating the process. However, it includes some unnecessary information, and it can somehow be simplified.",It's actually the method I came up with at first.,"It do include important information, but it shifted the sequence of game and coin flip, which makes it pretty weird.","It probably didn't support, because I didn't really remember that we have talked about it.",1,2,3
