Anonymous ID,Were you present for class on 9/10?,Select the Sampler which most closely aligns with your initial approach (at the end of part a) to modeling the amount of hearts obtained within a hand of 10 cards.,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 3B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
98,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"My chosen sampler related to my personal narrative of this context as my first thought was to divide the deck of cards into the four suits of Diamonds, Spades, Clubs, and Hearts, and repeat 1o times of the process from there. ",A single device with all four suits sampled without replacement. ,,"This sampler appealed to me due to the fact that it was easy to look at and understand. For instance, I had an easy time understanding that once one card is taken out of the suit of Hearts, there are only 12 Hearts left in that suit. I felt that this approach was the easiest for me. ","Talking about this device in class supported my learning in class because it first led me to use the stacks option due to the fact that I knew that the spinner didn't really have a ""without replacement"" option. ","This sampler looks appealing to me as it is easy to understand through the stacks option. However, I would rather see how many Diamonds, Clubs, and Spades were picked out as well, which is hard to dictate when they are all put into the ""Not Heart"" category. ",Talking about the stacks device supported my learning in class as it showed me an effortless way to understand the statistic being shown on TinkerPlots. ,The sampler is appealing to me in this picture due to the fact that it is divided into the four different suits of cards. ,Talking about this device supported my learning in class by understanding that one can input multiple forks that chose cards without replacement. ,9,9,7,9,9,8,7,8,8,9,7,9,8,8,8,8,8,8,8,9
102,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,My sampler is functionally same as the one I chose above.,"It's a simpler 2-step way of thinking the problem. For the first step I need to choose one from the four symbols, and then I need to decide one from the thirteen numbers/names.",A single device with all four suits sampled without replacement. ,"My simpler is almost like the one I choose above, the only difference is that I linked it to another stack so I can see the numbers/names of the chosen card.",What appeals me is that the sampler clearly shows for each symbol we have 13 choices of numbers/names. What doesn't appeal to me is that it doesn't show which specific number/name is chosen.,Talking about this sampler in class helped me because it gave me a clearer idea of how to use it and what it can show in different contexts. So next time I can choose a sampler that is more suitable for my project.,"It appeals because the visual is clear to see contrast between two attributes. What doesn't appeal to me is that it shows less information, because it only shows whether or not the symbol is Heart.","Talking about this sampler in class helped my learning because it helped me understand how the bars represent the outcomes more clearly, especially when there are two attributes.","What appeals me is that it shows each card's name/number as an individual, which is easy to understand. What doesn't appeal to me is that the process of building this sampler might take longer time than others.",Talking about this device in class helped my learning because it showed me step by step how the sampler was built. It made me understand better how suits and numbers are combined.,4,2,10,4,2,8,8,8,7,6,5,5,8,8,6,2,5,2,5,2
103,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,I think this is the most reasonable approach to the proposed question.,"A single device with two options: heart or not heart, sampled without replacement. ",,This does not include numbers on different cards but still works because we could figure out heart and not heart by using this sampler.,"I think talking about this device supported my understanding of building different samplers to achieve the same purpose. Also, this sampler innovates me to think of creating a more specifc deck simulation by using branches.",I think this is the most concise and direct way to solve for the question about hearts.,This is concise.,"I think this is one of the complicated models which provide a detailed simulation of the whole deck of cards, which is more clear for observation.",This helps me understand how to build a model of simulation specifically and expands my knowledge of the sampler function.,2,5,3,0,5,3,6,10,8,5,10,1,0,7,10,10,3,6,7,5
104,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,"On a first draw, one of the four symbols is chosen for a card, and based on the second draw, a value from the 13 different options is assigned to the symbol. Neither draw allows for replacements. This is repeated 10 times to represent a hand of 10 unique cards.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"The sampler's appeal is in its simple structure by consisting of four categories, each with equal frequency. Nothing in particular looks unappealing.","The ""Stacks"" device effectively represented the context of the activity by organizing the four ""Suit"" categories to draw from, each with a count of 13 to form a full deck of 52 cards.","This device is even more simple, with two stacks to represent the two possible outcomes. If there's anything that could be considered unappealing, it's perhaps the uneven distribution.","Discussing this device helped me understand how to most efficiently track the frequency of a single type of draw from the deck, that being ""Heart"" draws.",This sampler benefits from offering the most information in its outcomes by representing all of the main attributes of the draws. This same complexity is what may make it unappealing.,This device helped me understand how to properly link samplers to represent a statistical process and organize its key attributes to generate more detailed outcomes.,7,6,8,7,7,8,8,9,9,9,7,7,8,8,7,8,7,6,7,7
105,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,"For me mentally, there were 13 cards in a suit and there were 4 suits. So I decided to make 4 extra samplers for each suit. This to me made the most sense mentally.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,It's a very simple system of what suit to pick. The issue is it does not take into account what the type of card will be. It only selects the suit.,Discussing this in class supported my learning because my classmates and professor explained the two sampler.,Its a stacks system which makes it easy to visualize the non replacement and the probability of hearts.,It made sense to me because 13/52 is p=0.25 and the stacks sampler does that in a very illustrative easy to understand way.,I can see that it splits into 4 separate samplers for each suit.,Talking about this device supported my learning in class because I learned how to take into account all parts of the sampling of the ten cards.,7,6,7,6,7,8,8,8,8,6,8,6,8,8,6,6,8,6,8,6
109,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,.,We chose this sampler because hearts were the  only interest we care for,"A single device with two options: heart or not heart, sampled without replacement. ",.,this sampler doesn't exclude taking same suit.,it is not a correct model,this appealed to me because it was the simplest but effective,simple and effective,most visually accurate model,this model accurately explains the process,7,4,6,8,7,7,6,8,7,5,7,9,9,8,9,7,4,7,5,7
111,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,Our sampler was the same except we had the draw set to 10 and the repeat set to 1.,I was only looking for how many hearts were in the hand so I didn't pay attention to the specific card and only the suit.,A single device with all four suits sampled without replacement. ,It didn't,It kept the simulation simple with only the suits of the cards which appealed to me since I was only looking out for the number of hearts in the hand.,It supported my learmning in this class by helping me to visualize the situation which makes the data easier to read and understand.,It shows how many hearts you get dealt in the hand but it is a little too vague since it is so simple.,It supported my learning because it helped me figure out what information is needed to make the data more comprehendible.,This is the best device in my opinion since it shows the most data and is the most descriptive.,This supported my learning by helping me visualize the simulation a lot better than the other examples.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
112,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"This is a confusing question. 

The sampler I created had stacks of hearts and not hearts which connected to the purpose of the sampler which was to count how many hearts were drawn when dealing 10 cards from a deck. Having anything beyond the hearts and not hearts stacks is unnecessary because we don't care what the number or character on the card is. As long as we are sampling without replacement, using the two stacks will correctly model the situation. ","A single device with two options: heart or not heart, sampled without replacement. ",,"Having stacks appeals to me. Having 4 stacks, one for each suit, does not appeal to me because it is unnecessary. ","Talking about this device showed me other options for a sampler that did not match my initial thoughts, and reminded me that there are many different ways to solve statistics problems with samplers. ","Appealing because it is simple and effective. Could be unappealing since it doesn't give all the information you would get from a real physical deck of cards, but this didn't matter to me because the question only cared about the proportion of hearts. ","This was my initial idea, so talking about it confirmed for me that I was on the right track. ","Appealing because it more closely matches a real deck of cards, but unappealing because it looks complicated and confusing. ","Supported my learning by showing me that some samplers might model situations more closely than other samplers, but a more similar model does not mean it is the best for answering a certain question. ",9,8,8,8,9,7,7,9,7,6,7,7,8,8,8,9,9,8,9,9
113,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"Though we simply needed to see how many hearts would be picked from the deck, soI set up the simulation with all four suits in case we were trying to find anything other patterns, other than just hearts.",A single device with all four suits sampled without replacement. ,,"Appeals in the way that it is clear which suit of card is being picked, though unappealing in the way that you can't tell which number each card has.",Talking about the device in TinkerPlots helped me understand how to set up a bunch of random samples!,I don't like how the only information that you could get from the model is just if the card is or isn't hearts (we could've added numbers or at least the other suites).,"The only information this particular model taught us is that you can have two variables, chozen randomly, in this format (as opposed to all the other practice you can get with the TinkerPlots program with other models).","Perfect way to draw specific cards, as far as I know.","Helped my realize all the knowledge (of forming random samples) I have over this program in TinkerPlots, for what that's worth.",7,7,7,6,6,6,8,8,7,6,4,8,6,8,9,5,7,9,7,7
114,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"It is just divided into 2 categories, hearts and non-hearts, since we only care about whether the card is a heart or not. Therefore, for non-heart cards, we don't have to describe their specific categories.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"The positive side of this device is that it uses ""stacks"", which is a good way to represent and simulate the process of dealing cards. But the negative side is that it only has one branch. It would be better if adding the second branch to the right of the sampler.","Actually, I used ""mixer"" at first. But after discussing this device above with my partner, I realized that using the ""stacks"" would be much easier to set this device and to simulate the situation.","It is divided into only two categories that we care about, rather than introducing some other useless categories. ","Like what I said in the previous page, this device gives me the inspiration of using ""stacks"" to make the simulation easier.",It combines two different kinds of branches with various devices. The branch on the right side is intuitive and is a good way to display the process.,The design above is my second idea about the simulation device. So I was surprised when I saw such a device being displayed.,8,10,8,7,7,10,8,10,7,6,7,7,8,8,6,8,7,10,9,10
116,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,"The sampler can help me understand the process of actually picking a card, since I divide a card into two parts, where one represents the symbol and the other represents the number. Besides, to show the probability for each number and symbol and its relationship with others, I chose a linked sampler that has two devices sampling without replacement.",A single device with all four suits sampled without replacement. ,,"What appeals to me is that the sampler clearly shows all four suits without replacement, which makes it easy to see how probability changes after each draw.
What doesn’t appeal to me is that the interface looks a little technical, which might make it harder to focus on the concept rather than the tool.",It made me more confident in understanding how probabilities change after each draw.,"It allows me to follow the heart directly without the distraction from other symbols. However, what doesn't appeal to me is that it is limited only to hearts; it feels a bit restrictive for exploring broader probability situations.",It helps me to understand a strategy for how to focus on a single symbol if we want to track that. It also improves my understanding of the probability of a single event in a whole system.,"It clearly shows the whole process of picking a card, which has both a symbol and a number, which actually mimics the process of card drawing. However, it is a little bit jumbled since sometimes we only need to trace a specific symbol instead of every one.",It helps me understand the entire process of picking a card and also improves my understanding of the conditions for each element in the entire system.,6,5,8,9,3,3,2,5,3,3,3,6,7,3,6,6,4,6,8,6
118,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,N/A,"I think this conditioned sampler will be the closest one to the context. I think the sampler of a mixer with 52 balls, or the device with 4 suits, and the heart-or-non-heart device have the same function with some flaws respectively: the the heart-or-non-heart device and the 4-suit device are too simple to represent a real deck of cards and the mixer with 52 balls is too complicated and time-consuming. Also, I think the linked sampler that has two devices fails to correctly represent the context because it's possible to choose a card with the same name and the same symbol twice, which is not aligned with the context.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"It's simple and it can correctly get the result that is only related to symbol. 
It's too simple to represent the name of cards.",I was devoted to finding a device that can represents a  deck of cards. I know this device solves the questions on class worksheet but it fails to solve the other practical questions with a real deck of cards.,"This device is simple and easy to construct, but it's too simple to represents the names of cards.",I wanted to have a device that can correctly represent both the names and the symbols of a deck of cards so I didn't use this device even though it can solve the questions on worksheet.,"This is the device that I used in class. Intuitively, I think it's the device that can represent both the names and symbols of a deck of cards.
I cannot verify if this device actually can represent the process of dealing 10 cards from a deck of cards.","I think this device can correctly represent the process of dealing 10 cards from a deck of cards and have both the symbols and the names involved. Even though there are easier devices that can solve the questions on worksheet, I believe this device can not only solve the questions on worksheet but also other some questions that have both symbols and names involved.",7,7,8,7,7,7,7,10,7,7,7,5,4,7,7,7,4,4,3,4
119,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"The question only asked about if the card was a heart or not a heart, so sorting them into the two most basic groups was the most efficient way to go about the problem","A single device with two options: heart or not heart, sampled without replacement. ",,"I guess if it matters what the suit is, but for the scenario it only talked about heart vs nonheart. It's good for when you need to specify what the suit is.","This helped me learn because it showed that everyone has different ideas when presented with an opportunity to sort the cards into various groups, and helped broaden my horizons","I like how it interprets the question as just heart vs nonheart, I don't like how it might not be specific enough in some scenarios.","It felt good that something I used was on the board, I guess affirming and helping me gain confidence","I like how specific it gets, but honestly I feel like the prompt didn't require you to go so specific.",I like how people think outside of the box and see how specific/detailed they can get with these samplers.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
119,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,"the only thing that mattered was if the card was heart/nonheart, no need to overcomplicate it","A single device with two options: heart or not heart, sampled without replacement. ",,"too much info, unnecessary. if the question asks about specific suits, this is good",allowed me to see how others think when tasked with organizing suits/cards,"takes the prompt at face value, might not be specific enough for certain scenarios",feels good when what you did is used as an example i guess,"really specific, for this particular question i dont think you need to go to such lengths",interesting how intricate people can get while using tools to check for data,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
120,"Yes, I was present and completed the Coins/Cards activity.","A single device with two options: heart or not heart, sampled without replacement. ",1,0,,I am always seeking for the most concise way of solving problems. The method I’ve chosen is right the most concise method.,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",It can clearly state out the exact card each time we sort out.,"We can clearly know what type of cased out of the four type each time we sort out. However, it is still too complicated.",This will spark our creativity of finding a new route of solving problems.,"This sampling method is really concise, however it cannot provide me as much information as other sampling methods provide me.",Talking about this device will provide me with the most efficient solution of sampling.,This sampler appeals to me by provide me the most precise information about each card we sort out. It doesn’t appeal to me because it is too complicated to set it up.,This support my learning in class because it will provide most sufficient information about each card that we sort out in each time.,10,10,10,10,10,8,10,9,7,10,10,10,10,9,10,10,10,10,10,10
121,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,"This sampler is clear in demonstrating different symbols and numbers of card chosen, if we were offer to collect statistic of different symbols rather than hearts or non hearts, I think this will be the best sampler","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,This sampler does appeal to me for this assignment only because we don't care about the numbers we get and we only care about the heart symbols that we get. But what this doesn't appeal to me is that it is too vague and does not provide us with much more information.,I think it supported my learning in class because it gave me an understanding between different sampler and their advantages ,This appeal to me because this one was straight forward in term of what we were trying to collect.,It supported me because this was the simplest sampler that we could've use,This one was the best in term of clear and logic structure of it,We did not talk about this in class,6,7,8,6,8,7,5,7,8,8,7,5,7,7,7,7,6,7,6,8
122,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,"Because it can directly display numerical values, I think it is the clearest and the simplest to build for me.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"Its fairness attracted me. There is a total of four suits, with 13 cards in each, ensuring that the probability of drawing each suit is the same. Besides, it is clear enough. The bar chart and the numbers above make it more intuitive. However, it only shows the suit and not the number of the card.",It helped me see how sampling without replacement actually works in a clear and visual way.,"The sampler simplifies the problem into two results, which are clear enough. And let's see that the probability is 1:3. But at the same time, it is overly simplistic. As long as there are additional questions, the model will no longer be applicable.","This device in class supported my learning because it showed me how probability can be simplified into clear outcomes, and the way to build this sampler is much easier.","I like that this sampler more realistically simulates the entire deck by first selecting a suit and then choosing a value. A more complex result can be obtained. However, it seems a bit crowded and complicated, which may cause difficulties in understanding.","It supports how probabilities are built step by step, first based on suit and then based on value. This discussion made it easier for me to understand how compound results work with various values.",7,7,7,5,6,5,6,6,7,8,5,8,6,5,6,8,6,8,6,6
123,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,I chose to use the sampler with all 4 card symbols listed with 13 stacks since I thought it was the easiest and simplest approach. It also is what I'm familiar with since it's easy and also shows all four symbols of the cards.,A single device with all four suits sampled without replacement. ,,The fact that all four symbols are there with 13 stacks is what appeals to me since it's visually easy to look at and decipher. Nothing really doesn't appeal to me about the device.,It helped me understand probability and how to use the device to help me look at how many hearts would be chosen or another card. It was easier to understand than the other devices so it helped me understand probability a bit better.,"I like that the stacks are there and that there are just two categories which are Not Heart and Heart. However, it looks a bit more disorganized than the other sampler since we have to have 39 stacks versus 13 for the Not Heart versus Heart.","Just like the last sampler, it helped me understand probability a bit more. Especially since now I was just looking at two outcomes and not all four symbols.","I like that we can see the actual number of cards like 1 or 2 as well as Jack, Queen, etc. However, on first glance it looks more complicated to figure out to me than any of the other samplers. ",I think for this sampler it just made me a bit more confused but I understood it in the end and what it was getting at. I would prefer the first samplers instead to supplement my learning of probability.,7,7,7,7,6,8,6,6,7,8,7,7,6,7,7,7,7,8,8,7
130,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,I tried to keep the sampler easy to read and display for user.,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"It is what I thought of very initially, but it does not tell the number of a card when selected, so its not good.",It helped me evaluate about the process of learning.,"It is nice to this question, but very limited to this specific question, it does not apply to any other similar questions without modifying the model.","Its similar to the previous one, but gets the job done in a specific way.","The output it gives is very nice, but constructing this model takes a lot of time, and it looks a bit stupid.","Its getting better from the previous ones, but it leads to thinking about whether there is a better and more concise approach.",8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,8,10
132,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,No differences as the option is selected.,It is exactly same as my narrative.,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",No difference.,Nothing.,Nothing,Nothing,Nothing,Nothing,Nothing,8,8,9,9,7,9,9,8,9,8,8,7,8,8,8,7,10,7,7,8
134,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"there are basically four symbols in one deck of cards. We are only tracking the hearts we get, so we can create four stacks to represent your symbols.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"It's pretty good at tracking the what are the symbols of my samples(the cards I draw)
It's not clear enough about the details of each cards we draw, and not simple enough that only track whether the card is a heart or not. ","Firstly, my group actually write 10 draws and i repeat. the class made me realize that the number of repeat actually represents the sample size. Therefore, we actually have to set the draw to be 1 and repeat to be 10.","It's really neat and simple and effortless, since it only tracks whether a card is a heart or not.
It's just too simple, and I want more information.","I don't know, I actually didn't use this device in class.","It's really clear about want we get.
It's a little bit complex, and it's giving too many information.",We can actually combine different sampling process together to form a whole sampling process.,8,5,9,9,6,10,9,9,10,9,9,10,10,9,9,9,8,8,9,5
