Anonymous ID,Were you present for class on 9/24?,Select the Sampler which most closely aligns with your initial approach to modeling Jasmine if she were randomly guessing the correct note the teacher played,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 5B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.",Which of the following samplers do you prefer more for generating data for the Music Notes scenario?,Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
104,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,"My sampler represented the same attribute, sample space, and probabilities, but it was a spinner rather than a stacks device.",The sampler draws one of two possible outcomes of different probabilities ten times to simulate the student guessing correctly or not for each of the ten notes played.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","Again, my sampler was a spinner instead of a stacks device. It still had all of the same inputs as above.","The sampler's appeal is in its simplicity and accurate depiction of the scenario's binomial nature. However, I would prefer to use a spinner for the model.","Talking about this device helped reinforce my understanding of modeling a scenario with two possible outcomes--that is, a binomial scenario.","The device is appealing due to its detailed representation of the situation, but that same detail is what might make it feel overcomplicated with its two devices and large sample space.",Discussing this device helped me better understand how to link two devices to represent the different observations that can be recorded in an experiment.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It validated my thoughts. ,This one seems too complex to set up and requires two systems and lots of labeling. It could be useful because of the amount of details though.,"This helped me think of how I could set up something more complex. For the use in class, I don't think I would choose this one, but it might be useful another time.",7,6,8,7,7,8,8,9,9,9,7,7,8,8,7,8,7,6,7,7
105,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,No change.,There was a 1/7 probability so six incorrect and one correct makes sense.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",No change,It's perfect for what we need. Matter of fact it's beautiful. It does everything to sample the 1/7 probability of getting the note right.,It supported what we learned in the activity.,,,,I used this method for my own and expanded on it when I was shown it and it was discussed. ,This device appeals to me as it contains all the suits and possible combinations of numbers and suits which makes it not possible to get repeat values or have serious errors. This device also gives unnecessary information like the suits beside hearts. ,Talking about this method helped me understand the concept better and apply it to my own device. ,7,6,7,6,7,8,8,8,8,6,8,6,8,8,6,6,8,6,8,6
106,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,"The sampler functioned with the same replacement conditions and draws; however, instead of stacks, we made it a spinner. ","The sampler relates to my personal narrative as each trial is independent, and you are either incorrect or correct based on the notes.  ","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","The sampler functioned in the same manner; however, we used a spinner instead of the stacks. ","The stack system does not appeal to me; I would rather view a spinner. However, the attribute names are excellent, with ""Jasmine_Correct_Or_Incorrect"" and the stack names are between incorrect and correct. ","Discussing this device reinforced my interpretation of the scenario, as others shared their general feedback, allowing us to compare it with our contentions. ","The distinciton between two spinners, with the Teacher_Note and Jasmine_Guess, make the scenario more apparent; however, the complexity is unnecessary as you can model it with a sole spinner. ","This supported the distinction between one spinner and two spinners, further clarifying the probability statements.  ","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It supported my learning by giving me an idea that i didnt think of,"I feel like this sampler dives too deep into the problem, with all suits and values being represented.","We did not talk much about this, but when we did i was confused on its relevance",10,8,10,10,10,10,10,9,9,9,10,10,9,9,10,10,10,9,8,10
112,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,"Our sampler used a spinner instead of a stack, but everything else was the same. ",There was a 1 in 7 chance the student would get the correct note if she was purely guessing each time. ,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",We used a single spinner instead of a stack,"Appealing because it simplifies the choices to incorrect and correct, rather than naming all the possible notes. Doesn't appeal because it is stacks, so you have to make sure to sample with replacement. With spinners it is not possible to sample without replacement, so you don't have to worry about double checking. ",I don't really know what this question means,"Unnecessarily complicated, and makes it confusing to see that the chance of getting a correct answer is 1/7, not 1/49",showed me that complicated samplers aren't always better even if they accurately portray a situation,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",I didn't use this device,Too complicated,I didn't use this device,9,8,8,8,9,7,7,9,7,6,7,7,8,8,8,9,9,8,9,9
113,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,N/A,"If Jasmine was randomly guessing notes, there would have been a 1/7 chance of actually getting them correct, and she had ten guesses (hence Repeat = 10).","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",N/A,"If we're trying to find the probability of Jasmine choosing the correct music note, then this is the most straightforward way to test our hypotheses.",Didn't help my learning in class; too straightforward.,"I like how the sampler actually simulates which note is played on piano and which note the student guesses. Though if we're trying to test the null hypothesis, making the simpler bar sampler just makes the process a lot more intuitive.",Making a seperate column in the data table that gives a yes or no response to if the letters match each other after each test helped me learn how to do such a thing.......but I already forgot and should relearn that...,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",Talking about the stacks device supported my learning in class as it showed me an effortless way to understand the statistic being shown on TinkerPlots. ,The sampler is appealing to me in this picture due to the fact that it is divided into the four different suits of cards. ,Talking about this device supported my learning in class by understanding that one can input multiple forks that chose cards without replacement. ,7,7,7,6,6,6,8,8,7,6,4,8,6,8,9,5,7,9,7,7
114,"Yes, I was present and completed the Music Notes activity.","A linked device with two mixers that first determines the teacher's played note, then uses a two-ball mixer to determine if the student is correct or not. ",4,1,"I only used one branch, it contained 1 correct and 6 false.","1 correct means the only right choice, and 6 incrrect means all the wrong choices.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,It is not as clear as mine. I think mine is much easier to understand and to display the process.,We kept our own choice.,I don't like it. Because it is not clear and easy.,We kept our own choice.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","Talking about this sampler in class helped my learning because it helped me understand how the bars represent the outcomes more clearly, especially when there are two attributes.","What appeals me is that it shows each card's name/number as an individual, which is easy to understand. What doesn't appeal to me is that the process of building this sampler might take longer time than others.",Talking about this device in class helped my learning because it showed me step by step how the sampler was built. It made me understand better how suits and numbers are combined.,8,10,8,7,7,10,8,10,7,6,7,7,8,8,6,8,7,10,9,10
116,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,It can show the whole process of picking the notes and guessing the notes.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"It clearly shows a comparison of the probabilities for the guessing correctness. However, it does not mimic the process of guessing, which makes it hard to understand.","It helps me to understand the probabilities for correctness. By using this device, the graphs used to find the result are easier.","It represents the whole process of picking and guessing, which makes the whole process more understandable. However, drawing graphs by using this device to derive the result is harder.","It represents the whole process of picking and guessing, which makes the whole process more understandable, making it like a story.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",This is concise.,"I think this is one of the complicated models which provide a detailed simulation of the whole deck of cards, which is more clear for observation.",This helps me understand how to build a model of simulation specifically and expands my knowledge of the sampler function.,6,5,8,9,3,3,2,5,3,3,3,6,7,3,6,6,4,6,8,6
118,"Yes, I was present and completed the Music Notes activity.","A mixer sampler with replacement containing one ball to represent a correct guess, and another ball representing an incorrect guess. ",5,0,Our sampler is a single spinner with 1/7 chance to get the correct guess and 6/7 chance to get the incorrect guess.,"I think the teacher's choice of notes should not be considered because the teacher's choice of notes and the student's choice of notes are independent (no matter which note the teacher chose, the student would have 1/7 chance to be correct and 6/7 chance to be wrong if randomly guessing).","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",We used a spinner with 1/7 chance to get the correct guess and 6/7 chance to get the incorrect guess with replacement.,"This sampler correctly represents the contexts where the students have 1/7 chance to be right and 6/7 chance to be wrong if randomly choosing.
This doesn't appeal to me because it's without replacement so finally the stacks will be used up, which is not the actual context because, for every guess, the student is allowed to choose any one of the 7 notes.",This device really let me understand that the samplers for this context should be with replacement and thus this sampler is not the correct one.,"This sampler lets the teacher's choice of notes get involved. Two spinners explicitly show the teacher's choice and the student's choice. Also, it doesn't change the possibility that student gets the correct note and the possibility that student gets the incorrect note because of adding an additional spinner.
One flaw would be that this sampler makes the process of simulation more complex by explicitly choosing notes from each spinner.","At beginning, I thought this device is wrong because considering the teacher's choice may lower the possibility for student to be correct. However, after some consideration, this device maintains that the student has 1/7 chance to be correct  and 6/7 chance to be wrong.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","Discussing this device helped me understand how to most efficiently track the frequency of a single type of draw from the deck, that being ""Heart"" draws.",This sampler benefits from offering the most information in its outcomes by representing all of the main attributes of the draws. This same complexity is what may make it unappealing.,This device helped me understand how to properly link samplers to represent a statistical process and organize its key attributes to generate more detailed outcomes.,7,7,8,7,7,7,7,10,7,7,7,5,4,7,7,7,4,4,3,4
119,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,,its easiest to see if Jasmine was correct or not by making her guess 1/7 possibilities after hearing the teacher play,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","we used a spinner with 7 choices, one being correct and the other six being incorrect to represent the chance of Jasmine guessing the note by purely guessing","I like how straight forward and efficient it is
what doesn't appeal is if the question gets more complex it doesn't apply",Feels good to see an example that resembles yours because you're doing something right,"good for more complex questions
not necessary for just seeing if Jasmine is correct or incorrect",liked seeing different perspectives to approaching the problem,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It made sense to me because 13/52 is p=0.25 and the stacks sampler does that in a very illustrative easy to understand way.,I can see that it splits into 4 separate samplers for each suit.,Talking about this device supported my learning in class because I learned how to take into account all parts of the sampling of the ten cards.,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
120,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,,"For me, I want my sample method to be precise, which is to be able to display the most accurate result within the least effort. ","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"The sampler can directly sort out the correctness of the notes each time. However, it cannot tell which eact note is sorted out. ",I don't think it really support my learning in class because it can not directly show me the result that I get each time.,This appeals to me by providing me an accurate depiction of the guessed note and correct note in each role. It doesn't appeal to me by its complexity of needed to compare the notes one  by one. ,Talking about this deivice support my learning in class by provinding me an idea of how to provide a model that can simulate the circumstance in a most precise way.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",simple and effective,most visually accurate model,this model accurately explains the process,10,10,10,10,10,8,10,9,7,10,10,10,10,9,10,10,10,10,10,10
122,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,,"I think the spinner one is much directly to see the outcome correct or incorrect. Also, we can see the result of teachers' notes.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"We can see the percentage of incorrect and correct. It is 6:1. Also, it is easy to build this model.",We can directly see that 6 of 7 is in correct and 1 to 7 is correct. While we can just see the outcome but no process.,I can see both sides of teacher and Jasmine's answer.,"We can see the outcome of Teacher's note and Jasmine's guess. But we cannot see the final outcome. So, we cannot know whether it is correct or not directly.","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It supported my learning because it helped me figure out what information is needed to make the data more comprehendible.,This is the best device in my opinion since it shows the most data and is the most descriptive.,This supported my learning by helping me visualize the simulation a lot better than the other examples.,7,7,7,5,6,5,6,6,7,8,5,8,6,5,6,8,6,8,6,6
123,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,We used a spinner instead of a stack but it was the same idea.,It makes sense to just have 1 correct note and 6 incorrect without overcomplicating anything.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,It's simple and easy to understand and is exactly what I envisioned when reading this problem.,It didn't really do much as I already chose this device and understood it.,I like that there are two spinners and I understand how it works but before that I had to look at the description to understand it clearly.,It helped me learn about another method to use different samplers and devices.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","This was my initial idea, so talking about it confirmed for me that I was on the right track. ","Appealing because it more closely matches a real deck of cards, but unappealing because it looks complicated and confusing. ","Supported my learning by showing me that some samplers might model situations more closely than other samplers, but a more similar model does not mean it is the best for answering a certain question. ",7,7,7,7,6,8,6,6,7,8,7,7,6,7,7,7,7,8,8,7
130,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,We think this is a very intuitive demonstration. Easy for people to understand.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"This is a good one in that it is very simple, and also easy to understand.","I think this one supports my learning, as it is a clear representation.","This is the one we chose, and believed to be the best","This also supports my learning, and the method of choosing a correct and incorrect column in tinker plot helped me learn this tool.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","The only information this particular model taught us is that you can have two variables, chozen randomly, in this format (as opposed to all the other practice you can get with the TinkerPlots program with other models).","Perfect way to draw specific cards, as far as I know.","Helped my realize all the knowledge (of forming random samples) I have over this program in TinkerPlots, for what that's worth.",8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,8,10
132,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,No difference ,Same,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,Noting appeals to me,Nothing,Nothing ,Nothing,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","Like what I said in the previous page, this device gives me the inspiration of using ""stacks"" to make the simulation easier.",It combines two different kinds of branches with various devices. The branch on the right side is intuitive and is a good way to display the process.,The design above is my second idea about the simulation device. So I was surprised when I saw such a device being displayed.,8,8,9,9,7,9,9,8,9,8,8,7,8,8,8,7,10,7,7,8
134,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,we are using mixer,"our choice is not good, I forgot the request when generating the sampler","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",the same,"it's really clear, and provides needed information","yes, I taught me to use stacks to represent equal probability.","it's very vivid, but it's relatively compleex.","yes, I learned how to edit conditional formula","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",It helps me to understand a strategy for how to focus on a single symbol if we want to track that. It also improves my understanding of the probability of a single event in a whole system.,"It clearly shows the whole process of picking a card, which has both a symbol and a number, which actually mimics the process of card drawing. However, it is a little bit jumbled since sometimes we only need to trace a specific symbol instead of every one.",It helps me understand the entire process of picking a card and also improves my understanding of the conditions for each element in the entire system.,8,5,9,9,6,10,9,9,10,9,9,10,10,9,9,9,8,8,9,5
